Month,Reported by,Falls within,Easting,Northing,Location,Crime type,Context
2012-03,Cumbria Constabulary,Cumbria Constabulary,352457,530449,On or near Milner Mount,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,368160,519846,On or near Glebe Close,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,328639,478385,On or near Lower Brook Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,328382,477772,On or near Mayfield Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,325582,548376,On or near Parking Area,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,323234,474231,On or near Parking Area,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,319704,471906,On or near Barnfield Lane,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,352314,493218,On or near Stockgate,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340161,496772,On or near Promenade,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,328355,494126,On or near A593,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,328944,478482,On or near Hart Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,337338,504858,On or near Rydal Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,337665,555207,On or near Lytham Close,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,337665,555207,On or near Lytham Close,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,338017,555472,On or near Lime Grove,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,338273,555632,On or near Ivory Close,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,338843,556071,On or near Parking Area,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,341871,553496,On or near Burnett Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340080,556086,On or near Shopping Area,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,341436,555904,On or near Warwick Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340385,554404,On or near Mayson Street,Anti-social behaviour,
